四国めたん,とある日。
四国めたん,エリスが、拾いものをして帰ってきた。
四国めたん,「私が助けたんだから、私のよ！」
四国めたん,地下室に、それはいた。
四国めたん,首輪をつけられた、猫耳の女。
四国めたん,ボロ一枚の、ひどい姿。
四国めたん,その顔に、見覚えがあった。
四国めたん,リニア・デドルディア。
四国めたん,魔法大学を仕切っていた先輩。
四国めたん,獣族の、族長の娘。
四国めたん,数年前、彼女は宣言した。
四国めたん,商人になる、と。
四国めたん,颯爽と町を出ていった。
四国めたん,はずだった。
四国めたん,馬車も、商品も、借金で買った。
四国めたん,利子が膨らみ、首が回らなくなった頃。
四国めたん,一人の商人が、優しく声をかけてきた。
四国めたん,うちの商会に入れば利息は軽くなる。
四国めたん,入会金は立て替えておく、と。
四国めたん,渡されたバッジは、偽物だった。
四国めたん,男は消えた。
四国めたん,書かせた借用書だけが、本物だった。
四国めたん,馬車も、商品も取り上げられ、
四国めたん,最後に、彼女自身が持っていかれた。
四国めたん,奴隷市場から逃げたところを、
四国めたん,尻尾を掴まれ、捕まった。
四国めたん,そこを、散歩中のエリスが見ていた。
四国めたん,学校で一番こわかった先輩は、
四国めたん,こうして、この家に拾われた。
四国めたん,彼女がここで何になったのかは、
四国めたん,また、別の話。
